"id","pfd_period_no","wk","prd_name","prd_series","qty_fc","update_datetime"
125870,"202328",WK2339,RGP-096L-0D,RGP,371184,2023-09-12 14:29:53.054
259601,"202328",WK2340,RGP-096L-0D,RGP,371184,2023-09-12 14:29:53.054
134857,"202328",WK2341,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
286839,"202328",WK2342,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
330001,"202328",WK2343,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
80270,"202328",WK2344,RGP-096L-0D,RGP,168720,2023-09-12 14:29:53.054
381582,"202328",WK2345,RGP-096L-0D,RGP,163096,2023-09-12 14:29:53.054
363601,"202328",WK2346,RGP-096L-0D,RGP,146224,2023-09-12 14:29:53.054
104500,"202328",WK2347,RGP-096L-0D,RGP,70300,2023-09-12 14:29:53.054
363824,"202329",WK2329,RGP-096L-0D,RGP,312198,2023-09-12 14:29:53.054
302510,"202329",WK2330,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
23217,"202329",WK2331,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
363825,"202329",WK2332,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
341888,"202329",WK2333,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
132115,"202329",WK2334,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
192640,"202329",WK2335,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
71389,"202329",WK2336,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
46670,"202329",WK2337,RGP-096L-0D,RGP,112480,2023-09-12 14:29:53.054
387660,"202329",WK2338,RGP-096L-0D,RGP,224960,2023-09-12 14:29:53.054
289955,"202329",WK2339,RGP-096L-0D,RGP,371184,2023-09-12 14:29:53.054
171904,"202329",WK2340,RGP-096L-0D,RGP,371184,2023-09-12 14:29:53.054
345124,"202329",WK2341,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
357792,"202329",WK2342,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
171905,"202329",WK2343,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
296426,"202329",WK2344,RGP-096L-0D,RGP,168720,2023-09-12 14:29:53.054
384768,"202329",WK2345,RGP-096L-0D,RGP,163096,2023-09-12 14:29:53.054
241169,"202329",WK2346,RGP-096L-0D,RGP,146224,2023-09-12 14:29:53.054
189758,"202329",WK2347,RGP-096L-0D,RGP,70300,2023-09-12 14:29:53.054
192641,"202329",WK2348,RGP-096L-0D,RGP,0,2023-09-12 14:29:53.054
260053,"202330",WK2330,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
46853,"202330",WK2331,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
324389,"202330",WK2332,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
138201,"202330",WK2333,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
38154,"202330",WK2334,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
71589,"202330",WK2335,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
198950,"202330",WK2336,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
111021,"202330",WK2337,RGP-096L-0D,RGP,112480,2023-09-12 14:29:53.054
129308,"202330",WK2338,RGP-096L-0D,RGP,224960,2023-09-12 14:29:53.054
178168,"202330",WK2339,RGP-096L-0D,RGP,371184,2023-09-12 14:29:53.054
104944,"202330",WK2340,RGP-096L-0D,RGP,371184,2023-09-12 14:29:53.054
302753,"202330",WK2341,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
101670,"202330",WK2342,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
195851,"202330",WK2343,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
92435,"202330",WK2344,RGP-096L-0D,RGP,168720,2023-09-12 14:29:53.054
287197,"202330",WK2345,RGP-096L-0D,RGP,163096,2023-09-12 14:29:53.054
68569,"202330",WK2346,RGP-096L-0D,RGP,146224,2023-09-12 14:29:53.054
370101,"202330",WK2347,RGP-096L-0D,RGP,70300,2023-09-12 14:29:53.054
23425,"202330",WK2348,RGP-096L-0D,RGP,0,2023-09-12 14:29:53.054
364024,"202330",WK2349,RGP-096L-0D,RGP,0,2023-09-12 14:29:53.054
20548,"202331",WK2331,RGP-096L-0D,RGP,300000,2023-09-12 14:29:53.054
376333,"202331",WK2332,RGP-096L-0D,RGP,1055000,2023-09-12 14:29:53.054
281441,"202331",WK2333,RGP-096L-0D,RGP,344000,2023-09-12 14:29:53.054
53304,"202331",WK2334,RGP-096L-0D,RGP,309000,2023-09-12 14:29:53.054
361211,"202331",WK2335,RGP-096L-0D,RGP,439085,2023-09-12 14:29:53.054
184362,"202331",WK2336,RGP-096L-0D,RGP,439085,2023-09-12 14:29:53.054
156961,"202331",WK2337,RGP-096L-0D,RGP,433333,2023-09-12 14:29:53.054
361212,"202331",WK2338,RGP-096L-0D,RGP,224960,2023-09-12 14:29:53.054
11325,"202331",WK2339,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
156962,"202331",WK2340,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
153783,"202331",WK2341,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
370285,"202331",WK2342,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
120487,"202331",WK2343,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
296808,"202331",WK2344,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
333557,"202331",WK2345,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
17496,"202331",WK2346,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
260251,"202331",WK2347,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
379290,"202331",WK2348,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
205487,"202331",WK2349,RGP-096L-0D,RGP,168720,2023-09-12 14:29:53.054
367353,"202331",WK2350,RGP-096L-0D,RGP,112480,2023-09-12 14:29:53.054
92837,"202332",WK2332,RGP-096L-0D,RGP,350000,2023-09-12 14:29:53.054
382426,"202332",WK2333,RGP-096L-0D,RGP,1049000,2023-09-12 14:29:53.054
65924,"202332",WK2334,RGP-096L-0D,RGP,309000,2023-09-12 14:29:53.054
218101,"202332",WK2335,RGP-096L-0D,RGP,439085,2023-09-12 14:29:53.054
8366,"202332",WK2336,RGP-096L-0D,RGP,439085,2023-09-12 14:29:53.054
202558,"202332",WK2337,RGP-096L-0D,RGP,411137,2023-09-12 14:29:53.054
312674,"202332",WK2338,RGP-096L-0D,RGP,224960,2023-09-12 14:29:53.054
324787,"202332",WK2339,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
50400,"202332",WK2340,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
232910,"202332",WK2341,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
300063,"202332",WK2342,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
263502,"202332",WK2343,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
178548,"202332",WK2344,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
352078,"202332",WK2345,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
254305,"202332",WK2346,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
221080,"202332",WK2347,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
41382,"202332",WK2348,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
38554,"202332",WK2349,RGP-096L-0D,RGP,168720,2023-09-12 14:29:53.054
278666,"202332",WK2350,RGP-096L-0D,RGP,112480,2023-09-12 14:29:53.054
254306,"202332",WK2351,RGP-096L-0D,RGP,224960,2023-09-12 14:29:53.054
309796,"202333",WK2333,RGP-096L-0D,RGP,330000,2023-09-12 14:29:53.054
224300,"202333",WK2334,RGP-096L-0D,RGP,1028000,2023-09-12 14:29:53.054
254495,"202333",WK2335,RGP-096L-0D,RGP,439085,2023-09-12 14:29:53.054
93034,"202333",WK2336,RGP-096L-0D,RGP,439085,2023-09-12 14:29:53.054
315999,"202333",WK2337,RGP-096L-0D,RGP,411137,2023-09-12 14:29:53.054
328066,"202333",WK2338,RGP-096L-0D,RGP,224960,2023-09-12 14:29:53.054
287818,"202333",WK2339,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
233102,"202333",WK2340,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
358618,"202333",WK2341,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
263690,"202333",WK2342,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
236144,"202333",WK2343,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
202797,"202333",WK2344,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
150970,"202333",WK2345,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
41573,"202333",WK2346,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
266761,"202333",WK2347,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
11751,"202333",WK2348,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
263691,"202333",WK2349,RGP-096L-0D,RGP,168720,2023-09-12 14:29:53.054
339638,"202333",WK2350,RGP-096L-0D,RGP,112480,2023-09-12 14:29:53.054
245000,"202333",WK2351,RGP-096L-0D,RGP,224960,2023-09-12 14:29:53.054
290783,"202333",WK2352,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
190773,"202334",WK2334,RGP-096L-0D,RGP,300000,2023-09-12 14:29:53.054
187849,"202334",WK2335,RGP-096L-0D,RGP,1167085,2023-09-12 14:29:53.054
81480,"202334",WK2336,RGP-096L-0D,RGP,439085,2023-09-12 14:29:53.054
141968,"202334",WK2337,RGP-096L-0D,RGP,411137,2023-09-12 14:29:53.054
111876,"202334",WK2338,RGP-096L-0D,RGP,224960,2023-09-12 14:29:53.054
361834,"202334",WK2339,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
47634,"202334",WK2340,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
257773,"202334",WK2341,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
160699,"202334",WK2342,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
27285,"202334",WK2343,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
184958,"202334",WK2344,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
147988,"202334",WK2345,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
175943,"202334",WK2346,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
325205,"202334",WK2347,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
90324,"202334",WK2348,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
175944,"202334",WK2349,RGP-096L-0D,RGP,168720,2023-09-12 14:29:53.054
114968,"202334",WK2350,RGP-096L-0D,RGP,112480,2023-09-12 14:29:53.054
245206,"202334",WK2351,RGP-096L-0D,RGP,224960,2023-09-12 14:29:53.054
141969,"202334",WK2352,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
242153,"202334",WK2401,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
248618,"202335",WK2335,RGP-096L-0D,RGP,300000,2023-09-12 14:29:53.054
133288,"202335",WK2336,RGP-096L-0D,RGP,1306170,2023-09-12 14:29:53.054
209450,"202335",WK2337,RGP-096L-0D,RGP,422709,2023-09-12 14:29:53.054
130303,"202335",WK2338,RGP-096L-0D,RGP,208088,2023-09-12 14:29:53.054
36213,"202335",WK2339,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
