"id","so_no","so_line","request_date","due_date","prd_name","prd_series","qty_bal","update_datetime"
272684289,"2SE03414",7,"2024-04-30 00:00:00","2024-04-29 00:00:00",RGP-266L-0B,RGP,29265,2024-04-25 13:46:03.784
265036464,"2SE02987",4,"2024-03-28 00:00:00","2024-04-29 00:00:00",RGP-309S-1B,RGP,200000,2024-04-25 13:46:03.784
250250396,"2SE01896",55,"2024-03-01 00:00:00","2024-04-29 00:00:00",RGP-419L-0B,RGP,45000,2024-04-25 13:46:03.784
230524869,"2SE02729",3,"2024-04-26 00:00:00","2024-04-29 00:00:00",RGP-427L-0B,RGP,20000,2024-04-25 13:46:03.784
263970543,"2SE03436",4,"2024-04-09 00:00:00","2024-04-29 00:00:00",RGPZ-394ML-0D,RGP,100000,2024-04-25 13:46:03.784
271424901,"2SE02689",3,"2024-03-20 00:00:00","2024-04-29 00:00:00",RGPZ-404ML-0E,RGP,150000,2024-04-25 13:46:03.784
247757497,"2SE03284",1,"2024-04-29 00:00:00","2024-04-29 00:00:00",RGPZ-437ML-0E,RGP,2185,2024-04-25 13:46:03.784
268883457,"2SE02478",2,"2024-04-22 00:00:00","2024-04-29 00:00:00",RGPZ-445ML-1D,RGP,5000,2024-04-25 13:46:03.784
265275703,"2SE03651",2,"2024-04-24 00:00:00","2024-04-30 00:00:00",RGP-266L-0B,RGP,30000,2024-04-25 13:46:03.784
252871432,"2SE01896",56,"2024-03-01 00:00:00","2024-04-30 00:00:00",RGP-419L-0B,RGP,45000,2024-04-25 13:46:03.784
230524870,"2SE02729",4,"2024-04-26 00:00:00","2024-04-30 00:00:00",RGP-427L-0B,RGP,20000,2024-04-25 13:46:03.784
246139587,"2SE02867",7,"2024-03-31 00:00:00","2024-04-30 00:00:00",RGPZ-086MW-1E,RGP,8000,2024-04-25 13:46:03.784
246139598,"2SE02872",7,"2024-03-31 00:00:00","2024-04-30 00:00:00",RGPZ-127MW-1E,RGP,8000,2024-04-25 13:46:03.784
236889379,"2SE01723",10,"2024-02-27 00:00:00","2024-04-30 00:00:00",RGPZ-315ML-1D,RGP,58635,2024-04-25 13:46:03.784
271496740,"2SE03436",5,"2024-04-09 00:00:00","2024-04-30 00:00:00",RGPZ-394ML-0D,RGP,100000,2024-04-25 13:46:03.784
227840059,"2SE01907",3,"2024-02-28 00:00:00","2024-04-30 00:00:00",RGPZ-395ML-0D,RGP,37550,2024-04-25 13:46:03.784
268883458,"2SE02478",3,"2024-04-22 00:00:00","2024-04-30 00:00:00",RGPZ-445ML-1D,RGP,5000,2024-04-25 13:46:03.784
271257826,"2SE03871",1,"2024-05-01 00:00:00","2024-05-01 00:00:00",RGP-493W-0A,RGP,26100,2024-04-25 13:46:03.784
217222472,"2SE01986",1,"2024-05-01 00:00:00","2024-05-01 00:00:00",RGPZ-443ML-3D,RGP,677,2024-04-25 13:46:03.784
265275704,"2SE03651",3,"2024-04-24 00:00:00","2024-05-02 00:00:00",RGP-266L-0B,RGP,30000,2024-04-25 13:46:03.784
254159678,"2SE01896",57,"2024-03-01 00:00:00","2024-05-02 00:00:00",RGP-419L-0B,RGP,46663,2024-04-25 13:46:03.784
230524871,"2SE02729",5,"2024-04-26 00:00:00","2024-05-02 00:00:00",RGP-427L-0B,RGP,20000,2024-04-25 13:46:03.784
255353211,"2SE02966",6,"2024-03-28 00:00:00","2024-05-02 00:00:00",RGPZ-146ML-0B,RGP,15000,2024-04-25 13:46:03.784
255362134,"2SE02969",6,"2024-03-28 00:00:00","2024-05-02 00:00:00",RGPZ-299NL-0C,RGP,15000,2024-04-25 13:46:03.784
255371080,"2SE02970",5,"2024-03-28 00:00:00","2024-05-02 00:00:00",RGPZ-300NL-0C,RGP,6000,2024-04-25 13:46:03.784
271496741,"2SE03436",6,"2024-04-09 00:00:00","2024-05-02 00:00:00",RGPZ-394ML-0D,RGP,59000,2024-04-25 13:46:03.784
271433800,"2SE02689",4,"2024-03-20 00:00:00","2024-05-02 00:00:00",RGPZ-404ML-0E,RGP,305700,2024-04-25 13:46:03.784
238113310,"2SE02912",2,"2024-03-29 00:00:00","2024-05-03 00:00:00",RGP-096L-0D,RGP,282996,2024-04-25 13:46:03.784
255344242,"2SE02902",4,"2024-03-27 00:00:00","2024-05-03 00:00:00",RGP-096L-0D,RGP,130000,2024-04-25 13:46:03.784
238206204,"2SE02854",5,"2024-03-29 00:00:00","2024-05-03 00:00:00",RGP-145S-0B,RGP,50000,2024-04-25 13:46:03.784
256816606,"2SE02855",5,"2024-03-29 00:00:00","2024-05-03 00:00:00",RGP-184S-0D,RGP,80951,2024-04-25 13:46:03.784
265275705,"2SE03651",4,"2024-04-24 00:00:00","2024-05-03 00:00:00",RGP-266L-0B,RGP,30000,2024-04-25 13:46:03.784
230524872,"2SE02729",6,"2024-04-26 00:00:00","2024-05-03 00:00:00",RGP-427L-0B,RGP,20000,2024-04-25 13:46:03.784
191578845,"2SE01638",1,"2024-05-27 00:00:00","2024-05-03 00:00:00",RGPZ-025ML-1C,RGP,4995,2024-04-25 13:46:03.784
246239641,"2SE02849",5,"2024-03-29 00:00:00","2024-05-03 00:00:00",RGPZ-030MW-2C,RGP,37800,2024-04-25 13:46:03.784
238131952,"2SE02939",5,"2024-03-31 00:00:00","2024-05-03 00:00:00",RGPZ-086MW-0E,RGP,8000,2024-04-25 13:46:03.784
246139588,"2SE02867",8,"2024-03-31 00:00:00","2024-05-03 00:00:00",RGPZ-086MW-1E,RGP,8000,2024-04-25 13:46:03.784
238159827,"2SE02940",5,"2024-03-31 00:00:00","2024-05-03 00:00:00",RGPZ-127MW-0E,RGP,8000,2024-04-25 13:46:03.784
246139599,"2SE02872",8,"2024-03-31 00:00:00","2024-05-03 00:00:00",RGPZ-127MW-1E,RGP,8000,2024-04-25 13:46:03.784
255289752,"2SE01723",11,"2024-02-27 00:00:00","2024-05-03 00:00:00",RGPZ-315ML-1D,RGP,71460,2024-04-25 13:46:03.784
271434028,"2SE02879",4,"2024-04-01 00:00:00","2024-05-03 00:00:00",RGPZ-357ML-1C,RGP,30000,2024-04-25 13:46:03.784
271326455,"2SE01312",4,"2024-02-14 00:00:00","2024-05-03 00:00:00",RGPZ-384MW-1D,RGP,30000,2024-04-25 13:46:03.784
271415151,"2SE01067",2,"2024-02-01 00:00:00","2024-05-03 00:00:00",RGPZ-389ML-1E,RGP,7773,2024-04-25 13:46:03.784
265035458,"2SE01907",4,"2024-02-28 00:00:00","2024-05-03 00:00:00",RGPZ-395ML-0D,RGP,112650,2024-04-25 13:46:03.784
212330721,"2SE02320",1,"2024-03-08 00:00:00","2024-05-03 00:00:00",RGPZ-454ML-0D,RGP,11000,2024-04-25 13:46:03.784
265275706,"2SE03651",5,"2024-04-24 00:00:00","2024-05-04 00:00:00",RGP-266L-0B,RGP,30000,2024-04-25 13:46:03.784
265036292,"2SE02856",7,"2024-03-29 00:00:00","2024-05-04 00:00:00",RGP-309S-0B,RGP,1191852,2024-04-25 13:46:03.784
239503537,"2SE02729",7,"2024-04-26 00:00:00","2024-05-04 00:00:00",RGP-427L-0B,RGP,20000,2024-04-25 13:46:03.784
255353197,"2SE02956",5,"2024-03-28 00:00:00","2024-05-04 00:00:00",RGPZ-146ML-0B,RGP,7840,2024-04-25 13:46:03.784
238373841,"2SE02957",3,"2024-03-28 00:00:00","2024-05-04 00:00:00",RGPZ-147ML-0B,RGP,7840,2024-04-25 13:46:03.784
255362115,"2SE02960",5,"2024-03-28 00:00:00","2024-05-04 00:00:00",RGPZ-299NL-0C,RGP,7840,2024-04-25 13:46:03.784
265275707,"2SE03651",6,"2024-04-24 00:00:00","2024-05-06 00:00:00",RGP-266L-0B,RGP,30000,2024-04-25 13:46:03.784
